trackID, chamberNb, energyDeposit(keV), Xpos, Ypos, Zpos
75 , 5, 5.864e+01, -6.095e+00, -3.562e+00, 1.123e+01
75 , 6, 3.315e+02, -6.848e+00, -4.270e+00, 1.251e+01
75 , 7, 5.045e+01, -7.591e+00, -4.982e+00, 1.370e+01
75 , 8, 5.339e+01, -8.312e+00, -5.720e+00, 1.486e+01
75 , 9, 4.278e+01, -9.014e+00, -6.477e+00, 1.596e+01
74 , 0, 3.161e+01, -1.276e+00, 1.553e+00, 1.654e-02
74 , 1, 3.122e+01, -1.917e+00, 2.333e+00, 2.077e-02
74 , 2, 2.801e+01, -2.559e+00, 3.113e+00, 2.204e-02
74 , 3, 2.950e+01, -3.200e+00, 3.894e+00, 2.055e-02
74 , 4, 1.500e+01, -3.841e+00, 4.674e+00, 1.624e-02
74 , 5, 4.524e+01, -4.483e+00, 5.454e+00, 9.059e-03
74 , 6, 4.464e+01, -5.124e+00, 6.234e+00, -8.226e-04
74 , 7, 2.609e+01, -5.766e+00, 7.014e+00, -1.331e-02
74 , 8, 2.117e+01, -6.408e+00, 7.794e+00, -2.861e-02
74 , 9, 2.487e+01, -7.048e+00, 8.575e+00, -4.631e-02
73 , 0, 2.548e+01, -7.623e-01, 1.860e+00, -6.177e-01
73 , 1, 5.100e+01, -1.143e+00, 2.795e+00, -9.049e-01
73 , 2, 3.304e+01, -1.523e+00, 3.731e+00, -1.177e+00
73 , 3, 2.331e+01, -1.901e+00, 4.668e+00, -1.435e+00
73 , 4, 3.017e+01, -2.277e+00, 5.605e+00, -1.679e+00
73 , 5, 2.518e+01, -2.651e+00, 6.543e+00, -1.908e+00
73 , 6, 3.413e+01, -3.025e+00, 7.481e+00, -2.123e+00
73 , 7, 2.690e+01, -3.399e+00, 8.420e+00, -2.324e+00
73 , 8, 3.306e+01, -3.771e+00, 9.359e+00, -2.510e+00
73 , 9, 3.686e+01, -4.141e+00, 1.030e+01, -2.683e+00
72 , 0, 4.337e+01, -1.293e+00, 1.539e+00, -1.874e-01
72 , 1, 2.695e+01, -1.942e+00, 2.313e+00, -2.877e-01
72 , 2, 2.276e+01, -2.592e+00, 3.086e+00, -3.922e-01
72 , 3, 3.103e+01, -3.242e+00, 3.859e+00, -5.005e-01
72 , 4, 2.454e+01, -3.893e+00, 4.631e+00, -6.126e-01
72 , 5, 2.364e+01, -4.544e+00, 5.404e+00, -7.287e-01
72 , 6, 4.541e+01, -5.195e+00, 6.176e+00, -8.489e-01
72 , 7, 2.911e+01, -5.847e+00, 6.947e+00, -9.731e-01
72 , 8, 3.188e+01, -6.499e+00, 7.718e+00, -1.101e+00
72 , 9, 7.908e+01, -7.151e+00, 8.489e+00, -1.233e+00
68 , 0, 3.608e+02, -1.513e+00, -1.323e+00, 1.933e+01
68 , 1, 3.589e+02, -2.310e+00, -1.946e+00, 2.953e+01
68 , 2, 4.233e+02, -3.133e+00, -2.535e+00, 4.007e+01
279, 0, 2.781e+02, 1.431e+00, 1.412e+00, 4.224e+01
279, 1, 1.466e+02, 1.748e+00, 2.463e+00, 4.757e+01
281, 0, 5.958e+01, -1.284e+00, -1.547e+00, 7.626e+00
281, 1, 5.997e+01, -2.003e+00, -2.260e+00, 9.603e+00
281, 2, 7.032e+01, -2.706e+00, -2.987e+00, 1.152e+01
281, 3, 5.476e+01, -3.392e+00, -3.728e+00, 1.337e+01
281, 4, 8.391e+01, -4.063e+00, -4.482e+00, 1.517e+01
281, 5, 6.392e+01, -4.721e+00, -5.249e+00, 1.693e+01
281, 6, 5.226e+01, -5.366e+00, -6.027e+00, 1.865e+01
281, 7, 4.587e+01, -5.999e+00, -6.816e+00, 2.031e+01
281, 8, 4.670e+01, -6.622e+00, -7.613e+00, 2.194e+01
281, 9, 7.422e+01, -7.233e+00, -8.420e+00, 2.353e+01
65 , 0, 7.820e+01, 1.112e+00, -1.674e+00, 3.165e+00
65 , 1, 6.197e+01, 1.661e+00, -2.522e+00, 4.719e+00
65 , 2, 4.547e+01, 2.205e+00, -3.373e+00, 6.250e+00
65 , 3, 6.029e+01, 2.743e+00, -4.228e+00, 7.757e+00
65 , 4, 6.930e+01, 3.276e+00, -5.086e+00, 9.242e+00
65 , 5, 4.319e+01, 3.804e+00, -5.947e+00, 1.071e+01
65 , 6, 9.709e+01, 4.328e+00, -6.812e+00, 1.215e+01
65 , 7, 5.112e+01, 4.846e+00, -7.678e+00, 1.357e+01
65 , 8, 4.863e+01, 5.361e+00, -8.548e+00, 1.497e+01
65 , 9, 4.876e+01, 5.872e+00, -9.420e+00, 1.635e+01
64 , 0, 3.712e+01, -1.803e+00, -8.889e-01, 2.337e+00
64 , 1, 3.965e+01, -2.713e+00, -1.327e+00, 3.521e+00
64 , 2, 5.729e+01, -3.626e+00, -1.758e+00, 4.711e+00
64 , 3, 7.325e+01, -4.542e+00, -2.184e+00, 5.907e+00
64 , 4, 1.054e+02, -5.462e+00, -2.602e+00, 7.110e+00
64 , 5, 8.098e+01, -6.384e+00, -3.015e+00, 8.319e+00
64 , 6, 6.362e+01, -7.309e+00, -3.420e+00, 9.534e+00
64 , 7, 4.782e+01, -8.238e+00, -3.819e+00, 1.076e+01
64 , 8, 6.241e+01, -9.169e+00, -4.211e+00, 1.198e+01
64 , 9, 4.219e+01, -1.010e+01, -4.596e+00, 1.322e+01
289, 0, 1.654e+00, -1.969e+00, -3.507e-01, 4.035e+01
289, 0, 7.991e-01, -1.969e+00, -3.507e-01, 4.035e+01
289, 0, 1.652e+00, -1.969e+00, -3.507e-01, 4.035e+01
289, 0, 1.770e+00, -1.969e+00, -3.507e-01, 4.035e+01
289, 0, 7.831e-01, -1.969e+00, -3.507e-01, 4.035e+01
289, 0, 2.925e+00, -1.969e+00, -3.507e-01, 4.035e+01
289, 0, 5.202e+00, -1.969e+00, -3.505e-01, 4.035e+01
289, 0, 3.874e+00, -1.969e+00, -3.504e-01, 4.035e+01
289, 0, 1.212e+01, -1.969e+00, -3.504e-01, 4.035e+01
54 , 0, 3.051e+01, 1.774e+00, -9.448e-01, -1.113e-01
54 , 1, 2.269e+01, 2.666e+00, -1.420e+00, -1.660e-01
54 , 2, 3.675e+01, 3.557e+00, -1.895e+00, -2.200e-01
54 , 3, 2.695e+01, 4.448e+00, -2.370e+00, -2.731e-01
54 , 4, 2.889e+01, 5.339e+00, -2.845e+00, -3.255e-01
54 , 5, 2.828e+01, 6.231e+00, -3.320e+00, -3.771e-01
54 , 6, 3.023e+01, 7.122e+00, -3.795e+00, -4.279e-01
54 , 7, 5.536e+01, 8.013e+00, -4.270e+00, -4.780e-01
54 , 8, 2.589e+01, 8.904e+00, -4.746e+00, -5.272e-01
54 , 9, 3.127e+01, 9.795e+00, -5.221e+00, -5.756e-01
53 , 0, 3.101e+01, 1.912e+00, -6.196e-01, -7.468e-01
53 , 1, 3.271e+01, 2.873e+00, -9.315e-01, -1.121e+00
53 , 2, 3.795e+01, 3.833e+00, -1.244e+00, -1.495e+00
53 , 3, 2.452e+01, 4.794e+00, -1.557e+00, -1.869e+00
53 , 4, 3.046e+01, 5.754e+00, -1.870e+00, -2.242e+00
53 , 5, 2.814e+01, 6.714e+00, -2.184e+00, -2.615e+00
